increasing,decreasing
597.316,4797.6
414.669,4984.66
377.56,508.116
0.023422,0.050719
586.388,4803.98
720.27,581.402
1.35163,1.81346
569.457,4818.69
432.556,4860.53
4456.44,943.153
0.0,0.0
2559.67,2839.68
0.242915,0.218731
3527.36,1872.08
0.11135,0.505349
0.256897,0.321155
2991.5,2390.95
9.86402,27.71
0.129392,0.73941
44.8444,217.271
2768.2,2614.82
571.746,4822.58
122.659,73.5643
741.468,4625.64
313.685,235.284
1.5414,2.00595
51.102,115.73
938.412,4461.22
0.182435,0.11371
1.22862,0.719559
3626.01,1755.6
139.015,5257.34
1.05029,0.963788
383.609,4992.61
1506.65,3889.63
1005.36,4391.93
821.532,4577.99
234.895,82.3655
215.77,5180.06
1151.45,4245.18
1847.03,3548.5
457.029,4942.46
15.9431,6.91116
0.011331,0.021384
0.113676,0.194912
0.182024,0.063836
2927.87,2399.65
